deliveryScheduling,deliveryFee,address,state,city,zip
1,3.99,1701 E KENSINGTON RD,IL,MOUNT PROSPECT,60056
1,3.99,225 E ROOSEVELT RD,IL,LOMBARD,60148
1,3.99,1325 E IRVING PARK RD,IL,ITASCA,60143
1,3.99,1050 WAUKEGAN RD,IL,NORTHBROOK,60062
1,3.99,7516 S CASS AVE,IL,DARIEN,60561
1,3.99,5525 159TH ST,IL,OAK FOREST,60452
1,3.99,1000 OGDEN AVE,IL,DOWNERS GROVE,60515
1,3.99,309 W SAINT CHARLES RD,IL,LOMBARD,60148
1,3.99,632 ROGER WILLIAMS AVE,IL,HIGHLAND PARK,60035
1,3.99,930 ELK GROVE TOWN CTR,IL,ELK GROVE VILLAGE,60007
1,3.99,14680 S LA GRANGE RD,IL,ORLAND PARK,60462
1,3.99,7960 W 159TH ST,IL,ORLAND PARK,60462
1,3.99,3 E GOLF RD,IL,ARLINGTON HEIGHTS,60005
1,3.99,1 N ELMHURST RD,IL,PROSPECT HEIGHTS,60070
1,3.99,16675 OAK PARK AVE,IL,TINLEY PARK,60477
1,3.99,18133 TORRENCE AVE,IL,LANSING,60438
1,3.99,820 183RD ST,IL,HOMEWOOD,60430
1,3.99,3564 RIDGE RD,IL,LANSING,60438
1,3.99,8300 LEMONT RD,IL,DARIEN,60561
1,3.99,1000 E NORTHWEST HWY,IL,ARLINGTON HEIGHTS,60004
1,3.99,6240 BELMONT RD,IL,DOWNERS GROVE,60516
1,3.99,18300 GOVERNORS HWY,IL,HOMEWOOD,60430
1,3.99,840 N MAIN ST,IL,GLEN ELLYN,60137
1,3.99,780 WAUKEGAN RD,IL,DEERFIELD,60015
1,3.99,11981 W 143RD ST,IL,ORLAND PARK,60467
1,3.99,18301 PULASKI AVE,IL,HAZEL CREST,60429
1,3.99,2040 GLEN ELLYN RD,IL,GLENDALE HTS,60139
1,3.99,655 ELM PL,IL,HIGHLAND PARK,60035
1,3.99,10 N MILWAUKEE AVE,IL,WHEELING,60090
1,3.99,8400 171ST ST,IL,TINLEY PARK,60487
1,3.99,641 MEACHAM RD,IL,ELK GROVE VILLAGE,60007
1,3.99,324 ROOSEVELT RD,IL,GLEN ELLYN,60137
1,3.99,2501 75TH ST,IL,WOODRIDGE,60517
1,3.99,180 E LAKE ST,IL,BLOOMINGDALE,60108
1,3.99,445 E MAPLE AVE,IL,ROSELLE,60172
1,3.99,1711 W CAMPBELL ST,IL,ARLINGTON HEIGHTS,60005
1,3.99,1010 MAPLE AVE,IL,LISLE,60532
1,3.99,235 E PALATINE RD,IL,ARLINGTON HEIGHTS,60004
1,3.99,320 WAUKEGAN AVE,IL,HIGHWOOD,60040
1,3.99,680 E BOUGHTON RD,IL,BOLINGBROOK,60440
1,3.99,1199 W DUNDEE RD,IL,WHEELING,60090
1,3.99,770 E SCHAUMBURG RD,IL,SCHAUMBURG,60194
1,3.99,540 N SCHMALE RD,IL,CAROL STREAM,60188
1,3.99,3200 VOLLMER RD,IL,OLYMPIA FIELDS,60461
1,3.99,15575 E 127TH ST,IL,LEMONT,60439
1,3.99,1601 N MAIN ST,IL,WHEATON,60187
1,3.99,2020 S NAPERVILLE RD,IL,WHEATON,60189
1,3.99,1180 S ROSELLE RD,IL,SCHAUMBURG,60193
1,3.99,2501 WAUKEGAN RD,IL,BANNOCKBURN,60015
1,3.99,650 DIXIE HWY,IL,CHICAGO HEIGHTS,60411
1,3.99,270 W LAKE ST,IL,BLOOMINGDALE,60108
1,3.99,15 N BUFFALO GROVE RD,IL,BUFFALO GROVE,60089
1,3.99,6S235 STEEPLE RUN DR,IL,NAPERVILLE,60540
1,3.99,1225 W DUNDEE RD,IL,BUFFALO GROVE,60089
1,3.99,17955 WOLF RD,IL,ORLAND PARK,60467
1,3.99,1000 N ROSELLE RD,IL,HOFFMAN ESTATES,60169
1,3.99,20950 GOVERNORS HWY,IL,OLYMPIA FIELDS,60461
1,3.99,12 N NORTHWEST HWY,IL,PALATINE,60067
1,3.99,1303 WEHRLI RD,IL,NAPERVILLE,60565
1,3.99,101 LILY CACHE LN,IL,BOLINGBROOK,60440
1,3.99,805 W EUCLID AVE,IL,PALATINE,60067
1,3.99,2191 W ROOSEVELT RD,IL,WHEATON,60187
1,3.99,2601 E SAUK TRL,IL,SAUK VILLAGE,60411
1,3.99,1701 N BUFFALO GROVE RD,IL,BUFFALO GROVE,60089
1,3.99,713 E OGDEN AVE,IL,NAPERVILLE,60563
1,3.99,27W171 GENEVA RD,IL,WINFIELD,60190
1,3.99,225 MILWAUKEE AVE,IL,LINCOLNSHIRE,60069
1,3.99,1461 W SCHAUMBURG RD,IL,SCHAUMBURG,60194
1,3.99,7209 W LINCOLN HWY,IL,FRANKFORT,60423
1,3.99,375 E DUNDEE RD,IL,PALATINE,60074
1,3.99,2040 ARMY TRAIL RD,IL,HANOVER PARK,60133
1,3.99,15 S ORCHARD DR,IL,PARK FOREST,60466
1,3.99,3120 CHICAGO RD,IL,SOUTH CHICAGO HEIGHTS,60411
1,3.99,5500 COUNTY FARM RD,IL,HANOVER PARK,60133
1,3.99,296 E DEERPATH,IL,LAKE FOREST,60045
1,3.99,20002 WOLF RD,IL,MOKENA,60448
1,3.99,7350 BARRINGTON RD,IL,HANOVER PARK,60133
1,3.99,400 S MAIN ST,IL,NAPERVILLE,60540
1,3.99,63 W 87TH ST,IL,NAPERVILLE,60565
1,3.99,9554 E LINCOLN HWY,IL,FRANKFORT,60423
1,3.99,28W104 WARRENVILLE RD,IL,WARRENVILLE,60555
1,3.99,16750 W 159TH ST,IL,LOCKPORT,60441
0,0.0,1000 N WESTMORELAND RD,IL,LAKE FOREST,60045
1,3.99,347 N INDEPENDENCE BLVD,IL,ROMEOVILLE,60446
1,3.99,2560 W GOLF RD,IL,HOFFMAN ESTATES,60169
1,3.99,1295 LILY CACHE LN,IL,BOLINGBROOK,60490
1,3.99,1550 W ALGONQUIN RD,IL,HOFFMAN ESTATES,60192
1,3.99,125 N NELTNOR BLVD,IL,WEST CHICAGO,60185
1,3.99,612 RAYMOND DR,IL,NAPERVILLE,60563
1,3.99,2S613 STATE ROUTE 59,IL,WARRENVILLE,60555
1,3.99,450 S SCHOOLHOUSE RD,IL,NEW LENOX,60451
1,3.99,13 E IRVING PARK RD,IL,STREAMWOOD,60107
1,3.99,1779 SEQUOIA RD,IL,NAPERVILLE,60540
1,3.99,261 W TOWNLINE RD,IL,VERNON HILLS,60061
1,3.99,12700 ROCKLAND RD,IL,LAKE BLUFF,60044
1,3.99,899 S IL ROUTE 59,IL,BARTLETT,60103
1,3.99,11200 W LARAWAY RD,IL,FRANKFORT,60423
1,3.99,498 N WEBER RD,IL,ROMEOVILLE,60446
1,3.99,1285 S RAND RD,IL,LAKE ZURICH,60047
1,0.99,1470 S MILWAUKEE AVE,IL,LIBERTYVILLE,60048
1,3.99,466 NELSON RD,IL,NEW LENOX,60451
1,3.99,3035 BOOK RD,IL,NAPERVILLE,60564
1,3.99,2111 WINDING RIVER DR,IL,NAPERVILLE,60564
1,3.99,680 S WEBER RD,IL,ROMEOVILLE,60446
1,3.99,189 W NORTHWEST HWY,IL,BARRINGTON,60010
1,3.99,701 S MIDLOTHIAN RD,IL,MUNDELEIN,60060
1,3.99,2719 HASSERT BLVD,IL,NAPERVILLE,60564
1,3.99,355 N EOLA RD,IL,AURORA,60502
1,3.99,345 N LAKE ST,IL,MUNDELEIN,60060
1,3.99,358 E CASS ST,IL,JOLIET,60432
1,3.99,2751 E MAIN ST,IL,ST CHARLES,60174
1,3.99,910 N RAND RD,IL,LAKE ZURICH,60047
